text,published,source,sentiment
BUWANG2 UWANG MUBÀDIR😢,2025-12-20T08:23:48Z,Youtube,Negative
DIPASTIKAN TRIBUN SEPI...!!!,2025-12-20T10:58:58Z,Youtube,Negative
Hoaks,2025-12-20T08:28:44Z,Youtube,Neutral
"Halla kaga guna, kalau liga indo kaga di perbaiki",2025-12-20T07:02:38Z,Youtube,Negative
hoax,2025-12-20T10:35:03Z,Youtube,Neutral
STY must come back!,2025-12-20T08:54:28Z,Youtube,Negative
"Jangan pusing2, Erik n Towel aja suruh ngelatih....biar tambah bagus timnasnya .....",2025-12-20T16:13:45Z,Youtube,Negative
Harusnya dilatih coach justin,2025-12-20T07:45:58Z,Youtube,Negative
Welcome mr Hermanto 😊,2025-12-21T00:30:34Z,Youtube,Positive
Semoga hasilnya memuaskan amin ya rabbal'alamin,2025-12-21T04:15:22Z,Youtube,Positive
Buktiin dulu jganbanyak koar koar tar takbisa apa2 malu nanti,2025-12-21T11:17:49Z,Youtube,Negative
Jhon H kelihatan aktif orangnya.dan cerdas,2025-12-20T10:05:09Z,Youtube,Positive
"Mending ngelatih di negara lain mr john,, kasian anak istri luu.. ntar klo kalah kena hujat sampe anak cucu",2025-12-20T07:46:57Z,Youtube,Negative
"Pemanasan dulu welcom to Indonesian 
 3 kali lose strike
 #herdman out😂",2025-12-21T01:26:58Z,Youtube,Negative
"""john herdman out""
 belajar ngetik dulu biar terbiasa entar",2025-12-21T05:50:59Z,Youtube,Negative
Kasihan Mr. JH bakal di bully fans karbitan yg masih mendewakan drakor....😅,2025-12-21T02:51:53Z,Youtube,Neutral
jangan harap sepak bola Indonesia maju kalo mafia ada di dalam PSSI atau pun luar PSSI 😂😂😊,2025-12-20T06:54:15Z,Youtube,Neutral
Pak iwan bule lebh baik dlm memilih pelatoh..erik tohir hanya buat timna sebagai kelinci percobaan...inilah mental pejabat indonesia tdk mau mengakui kesuksesan pendahulunya...kuilvert dielu2kan..nyatanya zonkkk....udahlga pak erik gk usa malu...kau hanya merusak timnas yg sudh dlm grek yg benar...saya kira kau tdk akan takut dengan si towel..trnyta sitowel lbh kuat dripda kau erik toher😂😂,2025-12-20T16:59:54Z,Youtube,Neutral
Jangan dibandingkan SDM Negara Maju( Kanada) dengan SDM RENDAH Negara Berkembang 🇵🇱😂,2025-12-20T10:20:55Z,Youtube,Neutral
bodo amattt,2025-12-21T04:26:06Z,Youtube,Neutral
SIAPKAN NYALIMU mr. 😂😅,2025-12-21T06:29:29Z,Youtube,Negative
Jangan satukan sepak bola dengan politik plis😢,2025-12-21T10:34:36Z,Youtube,Neutral
Kebanyakan memuji nanti sekali.y jatuh di buly abis2an aduhh indo indo🤣,2025-12-20T15:16:35Z,Youtube,Negative
Tenan ora kui bos bos...,2025-12-21T03:15:22Z,Youtube,Neutral
bagus iyah bagus tapi kalau pssi dan pemerintah ikut campur maka ancur tuh karir pelatih,2025-12-21T11:39:23Z,Youtube,Neutral
"Sebagus apapun percuma😂bakal jd cemilan netizen, pundit dan mafia2 😂😂",2025-12-20T12:36:24Z,Youtube,Negative
Gembar gembor media sprti biasa...😂😂😂,2025-12-21T10:53:43Z,Youtube,Negative
Belum jelas keputusannya....smoga dapat pelatih klas A,2025-12-21T08:14:48Z,Youtube,Neutral
Dunia mimpi,2025-12-20T11:51:37Z,Youtube,Neutral
Kenali dulu siapa bung Tomi weli.penggembos timnas 😂,2025-12-20T14:13:41Z,Youtube,Negative
Kasian Mr John melatih negara yang fansnya berisik hobinya mencaci maki 😂,2025-12-20T07:02:15Z,Youtube,Neutral
susah ga akan bisa masuk piala dunia sampai kapanpun selamanya,2025-12-20T07:02:21Z,Youtube,Negative
BACOTTTTTT.....,2025-12-20T23:25:46Z,Youtube,Negative
"😂,,ada juga yg mau..
 Ngurusin negara yg paling ribet masalah sepak bola,,,
 Ribet konco konco nya,,,",2025-12-21T09:51:31Z,Youtube,Neutral
Kayaknya akan semakin tenggelam,2025-12-20T08:24:48Z,Youtube,Negative
Analisis JELEK,2025-12-21T04:54:24Z,Youtube,Negative
Mending STY 100.000.000 ❤,2025-12-21T05:07:21Z,Youtube,Negative
TAI,2025-12-21T10:49:00Z,Youtube,Negative
Ayo DUKUNG SHIN TAE YONG YANG COCOK NGELATIH TIMNAS GARUDA INDONESIA 100000000000000000000000PERSEN SHIN TAE YONG PELATIHNYA DONG .😊😅😮😢😂😄😂😆😃😅🙁☹️😦😧😯😉😁👍🇮🇩👍🇮🇩👍🇮🇩👍🇮🇩👍🇮🇩👍,2025-12-20T10:41:59Z,Youtube,Negative
Pecat Erick Thohir,2025-12-21T00:39:34Z,Youtube,Negative
Pelatih hebat federasinya ?,2025-12-20T08:36:13Z,Youtube,Neutral
"Jika John penakluk kutukan, jauh lebih hebat Sty, Sty penakluk keputusan asaan bangsa Indonesia menjadi mendunia saat beliau JD pelatih dan Sty anti pemain titipan dan anti dg perjudian....naah sty sudah membuktinya, kalau John apa,....",2025-12-20T15:55:13Z,Youtube,Negative
"Indonesia lucu, udah bener STY di pecat di ganti patrick Kluivert... Apakah John Herdman akan sama seperti nasibnya dengan Patrick Kluivert??",2025-12-20T16:11:33Z,Youtube,Neutral
"Kp psnggil , Kulivert kan memang disetiing PSSI ikut mau x",2025-12-20T08:57:42Z,Youtube,Neutral
Disini sepertinya dia yg kena kutukan😅,2025-12-20T09:32:26Z,Youtube,Neutral
#etOUT,2025-12-20T09:02:05Z,Youtube,Negative
"Apa"" STY loe min min hadeuh",2025-12-20T08:25:32Z,Youtube,Neutral
Mulai... Media2 lebay..🥱,2025-12-20T07:05:36Z,Youtube,Neutral
masalahnya indonesia itu politiknya yang mengganggu,2025-12-20T08:16:59Z,Youtube,Neutral
Jika kelas dunia GK mungkin Belanda diam dan mempertahankan dia jika beneran jangan ngarang kamu hanya ingin di konten mu rame tok PSS iQ nya aja GK ada itu ini kamu hanya berbicara bohong,2025-12-20T09:20:13Z,Youtube,Negative
"Kapdze realistis PSSI ,GK serius",2025-12-20T22:17:19Z,Youtube,Neutral
Udah bener Sty....,2025-12-21T00:25:22Z,Youtube,Neutral
Sty diatas segalanya.. sty harga mati..,2025-12-20T17:34:09Z,Youtube,Neutral
Lebih baik pssi rekrut zinedine zidan atau guus hiding..,2025-12-20T14:12:35Z,Youtube,Neutral
pelatih yg trllu berani bermain di lingkaran mafia bola dn politik.klo pelatih ini bisa menyingkirkan politik dr sepak bola brrti kelas dunia tp klo cm disetir pssi ya wassalam🎉🎉🎉🎉,2025-12-20T22:23:17Z,Youtube,Neutral
Nyalinya sty lebih tinggi karena tidak dipengaruhi siapapun oleh escodan PSSI,2025-12-20T14:05:21Z,Youtube,Neutral
"Publik tunggu aksi 
  Publik masih pesimis",2025-12-20T10:34:13Z,Youtube,Neutral
Melatih timnas ibarat melatih MU sangat berbahaya 😂,2025-12-21T09:26:51Z,Youtube,Neutral
"11 - 12 Dengan Patrick & Simon Mc,akan Bertambah Suram Sepak Bola Indonesia",2025-12-20T14:28:00Z,Youtube,Negative
Ayok jordy werhman 🙏🏻,2025-12-20T11:59:37Z,Youtube,Neutral
Syukur dia mau ngelatih timnas indonesia..,2025-12-21T10:29:57Z,Youtube,Positive
Welcome to Indonesia...Siapkan mentalmu John!,2025-12-20T23:42:53Z,Youtube,Neutral
Welcome mr Hermanto 😊,2025-12-21T00:30:05Z,Youtube,Neutral
Nyari platih dari spanyol gaya permainan bagus buat fisik orang indo,2025-12-20T12:19:27Z,Youtube,Neutral
Beliau memilih pekerjaan paling ekstrem di dunia,2025-12-20T17:10:42Z,Youtube,Neutral
Ditunggu kepastian kabar pengumuman resmi PSSI dan kedatangan pelatih yang akan menangani Timnas Garuda ❤❤,2025-12-20T13:02:56Z,Youtube,Neutral
"semua itu ada proses, LETS GO INDONESIA BANGKIT 🔥🔥",2025-12-21T08:49:08Z,Youtube,Positive
Mudah mudahan tiap bertanding menang terus... Cos kalau kalah... Bisa berbahaya loohhhhh kkkkkkk bisa didemo dicaci maki berjilid jilid di medsos 😊,2025-12-20T07:55:14Z,Youtube,Negative
Aku sebetulnya dukung pelatihnya siapa aja asal jangan di cut cut pas udah bagus bagusnya.,2025-12-20T17:29:33Z,Youtube,Neutral
Kaga bakalan lama ni orang di indonesia,2025-12-20T20:10:26Z,Youtube,Negative
Siapkan kupingmu coach😅,2025-12-20T22:21:44Z,Youtube,Negative
Pelatih kroni eri tohir,2025-12-21T11:26:49Z,Youtube,Negative
Blm ngelatih aja dah di sanjung2 kasus nya sama kaya pelatih sebelum nya tau tau nya ampaaaas,2025-12-20T11:47:27Z,Youtube,Negative
STY ajh dah jelas timnas Indonesia baik,2025-12-20T11:41:42Z,Youtube,Neutral
Wah pelatih sepakbola wanita.... meragukan...,2025-12-20T13:31:50Z,Youtube,Negative
Korban selanjutnya 😂,2025-12-21T04:14:52Z,Youtube,Negative
kita lihat saja,2025-12-21T08:17:41Z,Youtube,Neutral
"Kl pake diaspora semua mungkin bakal bagus kl sdh pake titipan polisi dan TNI,lokal prett akan hancur kembali.",2025-12-20T22:54:07Z,Youtube,Negative
"Saya hrap STY latih Timnas berunei, biar STY bntuk bibit unggul timnas Brunei, lawan indo lngsung kalah, tmbh suram tuh timnas.",2025-12-20T16:08:46Z,Youtube,Negative
#YNWA,2025-12-20T16:50:33Z,Youtube,Neutral
Beliau mengambil job paling berbahaya di dunia.,2025-12-20T11:10:35Z,Youtube,Neutral
Menang di puja.kalah caci maki..itulah fans bola indonesia,2025-12-21T06:53:30Z,Youtube,Neutral
Pelatih nyalinya tinggi .semoga bisa membawa timnas Indonesia ke piala dunia,2025-12-20T13:07:55Z,Youtube,Positive
Ya mudah mudahan aja bisa membawa timnas Indonesia seperti dulu lagi,2025-12-20T06:39:13Z,Youtube,Positive
"Tinggal tunggu aja,, 
 Kl dia pelatih yg paling dibenci towel berati dia pelatih bagus. 
 Tapi kl towel dkk gx bersuara,, berati akan zonk seperti yg udah2😅",2025-12-20T15:40:48Z,Youtube,Neutral
start mulai nabung buat nonton Indonesia di pildun 2030,2025-12-21T08:31:29Z,Youtube,Positive
Dan pada akhirnya di pecat juga oleh PSSI karna timnas Indonesia berprestasi 🎉🎉🎉😂😂😂,2025-12-21T01:23:10Z,Youtube,Negative
"Gk yakin sporter sabar dg proses,, kecuali dpt kepercayaan dr sporter..",2025-12-20T10:31:35Z,Youtube,Neutral
